[UNK]
vesszõ
a
pont
kötõjel
az
hogy
nem
s
is
és
egy
de
kettõspont
kérdőjel
volt
meg
csak
ha
sem
még
már
azt
ez
én
el
nagy
úgy
van
hát
volna
mert
mint
ki
most
e
mondta
ott
aztán
mi
király
két
te
mit
olyan
ezt
ő
akkor
vagy
itt
ne
majd
jó
pedig
ember
mikor
minden
neki
fel
szegény
kell
szép
így
lesz
mind
jól
éppen
aki
amikor
egyszer
no
hanem
mondja
le
be
három
egész
kis
bizony
királyfi
lett
ment
se
hiszen
kellett
igen
mindjárt
nap
mintha
felé
arra
alatt
kérdezte
nagyon
azzal
azonban
hol
édes
után
amint
nekem
vissza
egyik
lehet
mondotta
őket
talán
sok
valami
legény
királykisasszony
annak
magát
öreg
amely
asszony
nincs
néhány
rá
vagyok
úr
ahogy
felelte
erre
azért
vele
ilyen
isten
mindig
maga
előtt
kicsi
át
ide
tovább
abban
ahol
semmi
leány
fiam
egyszerre
voltak
kapitány
ennek
amit
tudta
addig
más
első
tehát
történt
milyen
tenger
alig
na
míg
ami
ugyan
másik
hej
oda
tudom
elég
hét
szólt
szépen
lehetett
ezek
hozzá
neked
között
ismét
miért
haza
jött
föl
csakugyan
föld
reggel
mégis
óra
legyen
senki
hiába
megint
azon
fiú
ezen
ám
hirtelen
többet
több
uram
ó
maradt
alá
nélkül
ebben
magában
víz
idő
pillanatban
semmit
rajta
elé
fekete
vajon
cyrus
ma
jaj
pencroff
akár
hajó
látta
egyetlen
este
világ
tudja
soha
mindent
sárkány
mondá
mellett
egészen
szeme
oly
őt
annyi
egyet
belőle
ért
amelyet
hosszú
éjjel
állt
való
azok
smith
új
engem
hadd
bezzeg
vén
gondolta
közt
együtt
ekkor
amíg
igaz
kiáltott
fehér
fejét
vette
kedves
ezzel
túl
járt
mentek
doktor
tőle
jános
királyné
hatalmas
felséges
megy
tudott
össze
hogyan
adott
–
utána
láttam
valóban
szél
inkább
látott
barbicane
szó
emberek
körül
sziget
benne
ördög
mely
mire
fia
kérdi
mérnök
erősen
igazán
szerint
azután
akik
péter
istenem
ezért
állott
utolsó
vége
másnap
négy
tizenkét
hat
száz
valaki
újra
ön
jobb
mivel
erős
jobban
briant
látszott
magas
kezét
gróf
kicsit
szörnyű
felesége
legalább
akart
nézett
teljesen
város
telt
tette
közben
fa
jön
valamit
szinte
akarta
királynak
vannak
hold
áll
különben
harbert
közé
ők
tett
telepesek
fél
bizonyos
végre
öt
nagyot
került
fiatal
arany
akinek
gyorsan
belé
jutott
sztrogof
múlva
velem
otthon
attól
sohasem
ló
erdőbe
tud
keresztül
csupán
lenne
róla
felelt
szót
persze
tó
ült
vár
szabad
messze
fog
arról
nekik
amelynek
rengeteg
sokáig
nagyobb
ellen
végül
hátha
folytatta
óriási
folyó
fogg
előre
vizet
mellé
közül
földre
azonnal
látja
holnap
erdő
látom
gondolt
akar
t
kezdett
esett
miklós
dick
miután
tíz
észre
szemét
egyedül
fordult
elment
értek
sőt
nehéz
királyom
bele
egyre
amelyek
földön
zárójelzár
sokat
éjszaka
többé
hiszem
farkas
ezer
hová
gazdag
ugy
többi
hallod
adta
elindult
kin
zárójelnyit
mindenki
mondom
nautilus
teljes
ég
eltűnt
déli
eddig
igazi
leánya
harmadik
óriás
lassan
francia
annyira
kutya
lelkem
akit
pár
bizonyosan
jár
először
ebből
mindenféle
hegy
apja
annyit
tudod
látni
előtte
előbb
öregasszony
embert
téged
sikerült
palkó
katalin
elő
látod
ahhoz
feje
út
vitéz
velük
bár
vagyunk
ház
berzsián
palotába
baj
napon
második
drága
egyéb
nappal
fölött
érte
különös
indult
gyere
északi
ajtó
szóval
egyenesen
tengerész
nézte
aranyat
csakhogy
mondani
megyek
öregember
vett
palota
michel
vitte
számára
ezeket
szigfrid
fu
sírt
úton
legkisebb
amerikai
várta
világon
mielőtt
kiáltotta
annál
voltam
régi
állat
madár
tüzet
rossz
nemo
utat
spilett
passepartout
dolog
találta
tartott
eredj
egyszeriben
tűz
tudták
szent
szaladt
jankó
talált
vagyis
mondtam
vörös
óta
ti
bűbájos
anyja
sincs
nab
doniphan
akarja
öcsi
menjen
nos
társai
bab
magam
szíve
látszik
közepén
derék
miatt
levelet
esztendő
fák
ország
abból
sötét
tündér
rám
apám
medve
lövedék
fogta
leányát
hagyta
adok
adja
lakott
egymást
boszorkány
menj
hallotta
végig
nyilván
merre
királykisasszonyt
tenni
könnyen
tengeri
saját
később
hallottam
eszébe
mögött
embernek
abba
sándor
ned
neve
tele
leányt
erdőben
egymás
felett
kapott
j
gazdám
pescade
miféle
kend
kettő
gedeon
berci
máris
ugyanis
mendegélt
melyet
fogja
óceán
válaszolt
sokkal
pénzt
menni
partján
hitte
egyszeribe
akkora
válaszolta
magával
gordon
magukat
kisasszony
róka
jöttek
gyönyörű
erről
lám
táltos
szomorú
bennünket
látták
pointe
part
nekünk
mély
leszek
ádám
angol
mondott
i
gonosz
földet
tengeren
mondd
legnagyobb
emberi
városba
partra
magának
ettől
patak
ottan
kiment
kellene
adjon
valamilyen
micsoda
kissé
haladt
conseil
béka
tudtam
semmiféle
nyomban
idegen
zöld
valahol
lépett
hogyne
beszélt
hideg
hozott
hetedhét
roppant
nemcsak
akarsz
királyhoz
tudok
fogva
bizonyára
szigeten
sehol
marad
felől
bal
szebb
maston
ismeretlen
él
széles
múlt
különösen
ajtót
kérte
jutka
elkezdett
nicholl
barátom
szobába
rájuk
fejezet
bement
piros
mégsem
mr
ér
tiszta
fiúk
fát
ugye
elől
lenni
torontál
mégpedig
melyik
kívül
helyen
hamarosan
meglátta
szívesen
ablakon
phileas
napot
hangon
gyermek
nyolc
nemsokára
érezte
perc
szem
kilenc
egyébként
egyáltalán
anna
herceg
azokat
viszont
biztos
meghalt
valamelyik
thomas
futott
báthory
vetett
pontosan
kerül
lába
újságíró
álló
könnyű
asztal
csupa
ím
onnét
lovat
evans
veled
valaha
mért
kék
kenyeret
körülmények
többiek
szemben
jő
csendes
ayrton
által
mihelyt
hozzám
halász
bolond
méter
feküdt
ezután
nehogy
mégiscsak
mondták
helyett
gazda
